MissionID,MissionName,Agency,LaunchSite,LaunchDate,PayloadMassKG,OrbitType,MissionSuccess
MSN00025,Apollo,CNSA,Satish Dhawan,2023-05-15,321.27,GTO,Success
MSN00026,Shenzhou,CNSA,Baikonur,2016-09-07,7654.26,Mars Transfer Orbit,Success
MSN00027,Gemini,ISRO,Guiana Space Centre,2016-12-02,4846.48,MEO,Success
MSN00028,Blue Origin,NASA,Cape Canaveral,2016-08-27,3935.07,MEO,Success
MSN00029,SpaceX,CNSA,Vandenberg,2002-08-10,6890.31,HEO,Success
MSN00030,Shenzhou,ESA,Guiana Space Centre,2012-05-24,4191.1,MEO,Partial
MSN00031,Apollo,SpaceX,Satish Dhawan,2011-01-04,5536.92,ISS,Failure
MSN00032,Apollo,SpaceX,Cape Canaveral,2005-10-09,5051.51,MEO,Success
MSN00033,Soyuz,CNSA,Guiana Space Centre,2021-11-30,4058.0,Mars Transfer Orbit,Partial
MSN00034,Soyuz,NASA,Satish Dhawan,2020-11-23,5588.29,GTO,Success
MSN00035,ISS Resupply,Blue Origin,Baikonur,2012-07-15,6546.52,MEO,Success
MSN00036,Gemini,NASA,Satish Dhawan,2013-05-08,4630.19,HEO,Success
MSN00037,Shenzhou,Roscosmos,Baikonur,2006-09-18,4078.89,ISS,Success
MSN00038,Shenzhou,ESA,Cape Canaveral,2004-03-31,4314.98,MEO,Success
MSN00039,ISS Resupply,NASA,Satish Dhawan,2013-11-21,404.17,ISS,Success
MSN00040,Blue Origin,ISRO,Jiuquan,2017-09-16,5566.12,MEO,Success
MSN00041,Blue Origin,ESA,Vandenberg,2003-04-04,2581.78,ISS,Success
MSN00042,ISS Resupply,SpaceX,Jiuquan,2000-09-13,6259.44,MEO,Success
MSN00043,Blue Origin,ESA,Jiuquan,2006-05-16,4819.15,MEO,Success
MSN00044,Soyuz,ISRO,Jiuquan,2019-01-13,5210.24,LEO,Success
MSN00045,Shenzhou,CNSA,Vandenberg,2012-07-16,6400.66,GTO,Success
MSN00046,ISS Resupply,ISRO,Jiuquan,2003-06-27,3146.95,HEO,Success
MSN00047,Shenzhou,ISRO,Baikonur,2012-04-21,5738.5,HEO,Success
MSN00048,Apollo,CNSA,Satish Dhawan,2003-09-21,5535.24,LEO,Success
MSN00049,Soyuz,CNSA,Cape Canaveral,2002-03-20,4630.44,MEO,Success
MSN00050,SpaceX,CNSA,Jiuquan,2007-09-13,3143.63,GTO,Success
MSN00051,Soyuz,CNSA,Jiuquan,2019-03-15,6190.48,ISS,Success
MSN00052,ISS Resupply,CNSA,Cape Canaveral,2007-06-10,6406.91,LEO,Failure
MSN00053,SpaceX,ISRO,Cape Canaveral,2016-07-19,5227.2,HEO,Success
MSN00054,Apollo,Roscosmos,Jiuquan,2014-11-04,2859.4,HEO,Success
MSN00055,ISS Resupply,Roscosmos,Baikonur,2003-02-02,3945.1,Mars Transfer Orbit,Success
MSN00056,Gemini,NASA,Cape Canaveral,2005-03-14,4879.33,Mars Transfer Orbit,Success
MSN00057,Shenzhou,Roscosmos,Satish Dhawan,2023-12-18,6376.99,HEO,Success
MSN00058,Apollo,SpaceX,Satish Dhawan,2021-10-20,1833.02,MEO,Success
MSN00059,Shenzhou,Roscosmos,Baikonur,2005-07-17,3872.39,Mars Transfer Orbit,Success
MSN00060,Blue Origin,ISRO,Vandenberg,2009-11-21,4194.65,ISS,Success
MSN00061,Gemini,CNSA,Guiana Space Centre,2003-11-12,4833.56,ISS,Success
MSN00062,Gemini,CNSA,Baikonur,2008-08-27,2397.35,ISS,Failure
MSN00063,Apollo,Blue Origin,Jiuquan,2015-03-15,4564.93,MEO,Success
MSN00064,Gemini,Blue Origin,Guiana Space Centre,2006-01-31,4379.03,HEO,Success
MSN00065,SpaceX,Blue Origin,Jiuquan,2013-01-14,2924.82,Mars Transfer Orbit,Success
MSN00066,Gemini,ISRO,Satish Dhawan,2005-07-24,4764.06,Mars Transfer Orbit,Success
MSN00067,Shenzhou,SpaceX,Cape Canaveral,2000-11-11,3917.66,HEO,Success
MSN00068,Shenzhou,Roscosmos,Jiuquan,2017-03-09,5991.17,MEO,Failure
MSN00069,ISS Resupply,ISRO,Satish Dhawan,2011-05-08,3229.34,GTO,Success
MSN00070,Shenzhou,NASA,Baikonur,2021-01-26,5179.67,MEO,Success
MSN00071,ISS Resupply,CNSA,Jiuquan,2014-07-03,3383.22,MEO,Success
MSN00072,Shenzhou,Blue Origin,Satish Dhawan,2000-05-16,3800.49,HEO,Success
MSN00073,SpaceX,ESA,Cape Canaveral,2014-10-18,5594.58,ISS,Success
MSN00074,ISS Resupply,NASA,Jiuquan,2014-04-16,5469.44,HEO,Success
MSN00075,Soyuz,Blue Origin,Vandenberg,2015-01-24,4165.96,Mars Transfer Orbit,Success
MSN00076,Blue Origin,SpaceX,Satish Dhawan,2020-12-04,4461.18,GTO,Success
MSN00077,Apollo,NASA,Jiuquan,2000-07-12,2092.79,LEO,Failure
MSN00078,Shenzhou,ISRO,Cape Canaveral,2002-06-18,7805.53,Mars Transfer Orbit,Failure
MSN00079,Gemini,Roscosmos,Jiuquan,2011-02-05,6374.91,LEO,Success
MSN00080,Shenzhou,CNSA,Jiuquan,2006-04-11,6302.9,MEO,Success
MSN00081,Gemini,SpaceX,Vandenberg,2004-02-03,1809.94,LEO,Success
MSN00082,Blue Origin,SpaceX,Satish Dhawan,2000-02-08,3809.02,Mars Transfer Orbit,Failure
MSN00083,Blue Origin,ESA,Guiana Space Centre,2000-07-29,4330.91,ISS,Success
MSN00084,Blue Origin,NASA,Jiuquan,2014-08-18,1137.88,HEO,Failure
MSN00085,Gemini,ESA,Guiana Space Centre,2007-10-06,6779.9,GTO,Success
MSN00086,Shenzhou,Roscosmos,Baikonur,2010-03-21,7907.77,GTO,Success
MSN00087,Blue Origin,Blue Origin,Jiuquan,2013-08-26,9123.87,GTO,Failure
MSN00088,SpaceX,Roscosmos,Guiana Space Centre,2022-06-21,2908.23,Mars Transfer Orbit,Failure
MSN00089,ISS Resupply,Blue Origin,Baikonur,2012-11-21,5234.65,Mars Transfer Orbit,Success
MSN00090,Gemini,ESA,Vandenberg,2018-02-28,7645.64,HEO,Success
MSN00091,Gemini,CNSA,Satish Dhawan,2011-01-22,4492.76,ISS,Success
MSN00092,Shenzhou,Roscosmos,Jiuquan,2021-12-31,3866.02,GTO,Success
MSN00093,Gemini,ESA,Satish Dhawan,2018-12-10,1267.96,LEO,Success
MSN00094,Gemini,NASA,Baikonur,2003-08-26,7265.24,ISS,Failure
MSN00095,Blue Origin,ESA,Satish Dhawan,2003-10-23,4961.48,ISS,Success
MSN00096,Shenzhou,ESA,Satish Dhawan,2002-12-07,3541.32,Mars Transfer Orbit,Success
MSN00097,Blue Origin,ISRO,Cape Canaveral,2005-04-04,5567.71,Mars Transfer Orbit,Success
MSN00098,ISS Resupply,Roscosmos,Baikonur,2004-08-31,5306.01,ISS,Success
MSN00099,ISS Resupply,CNSA,Satish Dhawan,2010-01-11,5336.52,GTO,Success
MSN00100,Blue Origin,CNSA,Guiana Space Centre,2008-04-26,4565.8,ISS,Success
MSN00101,ISS Resupply,ISRO,Baikonur,2002-09-22,8244.72,Mars Transfer Orbit,Success
MSN00102,Shenzhou,Blue Origin,Cape Canaveral,2008-01-12,4732.68,GTO,Success
MSN00103,Apollo,SpaceX,Jiuquan,2011-06-03,8238.64,LEO,Failure
MSN00104,Blue Origin,Blue Origin,Vandenberg,2002-02-07,6128.23,Mars Transfer Orbit,Success
MSN00105,SpaceX,CNSA,Satish Dhawan,2019-05-11,5702.34,LEO,Success
MSN00106,SpaceX,ESA,Guiana Space Centre,2016-08-12,4773.45,LEO,Success
MSN00107,Gemini,ISRO,Cape Canaveral,2020-05-22,6947.91,Mars Transfer Orbit,Partial
MSN00108,ISS Resupply,NASA,Baikonur,2011-02-23,5225.98,Mars Transfer Orbit,Success
MSN00109,SpaceX,Roscosmos,Vandenberg,2017-01-24,3135.74,LEO,Success
MSN00110,Gemini,Roscosmos,Vandenberg,2003-05-01,3069.02,ISS,Failure
MSN00111,Apollo,Roscosmos,Satish Dhawan,2009-04-29,5844.97,ISS,Success
MSN00112,Shenzhou,ESA,Cape Canaveral,2017-06-10,3185.24,GTO,Success
MSN00113,Shenzhou,NASA,Cape Canaveral,2007-03-15,4875.54,LEO,Success
MSN00114,Shenzhou,ISRO,Guiana Space Centre,2008-07-03,7114.37,MEO,Partial
MSN00115,SpaceX,ISRO,Jiuquan,2018-07-11,5607.94,LEO,Success
MSN00116,Apollo,Roscosmos,Jiuquan,2012-08-07,3555.73,HEO,Success
MSN00117,SpaceX,NASA,Jiuquan,2005-05-01,7819.98,MEO,Failure
MSN00118,ISS Resupply,NASA,Vandenberg,2021-07-28,6095.75,HEO,Success
MSN00119,SpaceX,NASA,Vandenberg,2006-10-27,7035.59,MEO,Success
MSN00120,Apollo,CNSA,Baikonur,2020-12-11,464.88,Mars Transfer Orbit,Success
MSN00121,Apollo,CNSA,Vandenberg,2005-06-13,5661.71,GTO,Success
MSN00122,ISS Resupply,Roscosmos,Vandenberg,2010-09-25,6684.32,ISS,Success
MSN00123,Apollo,NASA,Cape Canaveral,2016-01-03,8400.58,GTO,Success
MSN00124,Apollo,SpaceX,Baikonur,2018-02-19,2072.36,MEO,Success
MSN00125,Shenzhou,NASA,Cape Canaveral,2011-12-30,7412.23,LEO,Failure
MSN00126,ISS Resupply,ISRO,Guiana Space Centre,2020-07-29,8288.76,GTO,Success
MSN00127,Soyuz,ISRO,Guiana Space Centre,2020-01-16,965.42,MEO,Success
MSN00128,Soyuz,Roscosmos,Baikonur,2023-06-17,5957.18,LEO,Success
MSN00129,Apollo,SpaceX,Baikonur,2012-10-09,6235.24,ISS,Success
MSN00130,Soyuz,NASA,Vandenberg,2017-11-22,4345.98,MEO,Success
MSN00131,Soyuz,Blue Origin,Guiana Space Centre,2006-10-25,4019.81,HEO,Success
MSN00132,Apollo,SpaceX,Satish Dhawan,2022-07-04,6335.71,HEO,Success
MSN00133,Soyuz,Roscosmos,Jiuquan,2004-05-17,3770.04,HEO,Success
MSN00134,SpaceX,ISRO,Vandenberg,2015-05-05,4565.5,LEO,Success
MSN00135,Gemini,Blue Origin,Jiuquan,2021-02-27,6624.87,LEO,Success
MSN00136,ISS Resupply,ISRO,Guiana Space Centre,2003-12-28,8508.09,GTO,Success
MSN00137,Gemini,CNSA,Jiuquan,2022-03-07,6075.97,LEO,Success
MSN00138,Apollo,Roscosmos,Satish Dhawan,2000-12-05,5266.97,MEO,Success
MSN00139,Shenzhou,Roscosmos,Satish Dhawan,2003-07-21,3967.21,HEO,Success
MSN00140,ISS Resupply,NASA,Cape Canaveral,2002-01-09,2978.8,ISS,Success
MSN00141,Apollo,NASA,Baikonur,2003-04-15,7219.16,Mars Transfer Orbit,Success
MSN00142,Shenzhou,CNSA,Jiuquan,2000-03-29,4693.1,HEO,Partial
MSN00143,Gemini,Blue Origin,Satish Dhawan,2011-03-30,7301.41,MEO,Success
MSN00144,Apollo,ESA,Baikonur,2012-12-09,4340.9,Mars Transfer Orbit,Success
MSN00145,ISS Resupply,SpaceX,Baikonur,2001-01-06,3701.42,ISS,Success
MSN00146,ISS Resupply,ESA,Cape Canaveral,2008-06-06,5841.6,GTO,Success
MSN00147,Blue Origin,ESA,Baikonur,2006-11-26,4846.93,LEO,Partial
MSN00148,SpaceX,Roscosmos,Baikonur,2012-04-12,2588.94,MEO,Success
MSN00149,Soyuz,SpaceX,Vandenberg,2021-08-11,8634.74,Mars Transfer Orbit,Success
MSN00150,Shenzhou,Roscosmos,Guiana Space Centre,2001-06-20,3746.03,LEO,Success
MSN00151,Blue Origin,SpaceX,Cape Canaveral,2000-02-02,6855.18,GTO,Failure
MSN00152,Soyuz,ISRO,Cape Canaveral,2017-06-30,6683.71,ISS,Success
MSN00153,Soyuz,Roscosmos,Jiuquan,2006-07-03,2481.07,Mars Transfer Orbit,Success
MSN00154,Apollo,Roscosmos,Baikonur,2017-03-28,2995.22,MEO,Success
MSN00155,Soyuz,Roscosmos,Jiuquan,2018-03-10,4396.98,ISS,Success
MSN00156,SpaceX,Blue Origin,Vandenberg,2007-01-26,3268.71,Mars Transfer Orbit,Success
MSN00157,ISS Resupply,CNSA,Satish Dhawan,2022-01-06,8452.91,Mars Transfer Orbit,Failure
MSN00158,Blue Origin,Roscosmos,Baikonur,2011-09-13,4599.65,MEO,Failure
MSN00159,Soyuz,NASA,Satish Dhawan,2010-07-01,6779.5,GTO,Success
MSN00160,Apollo,NASA,Guiana Space Centre,2008-10-21,6027.27,GTO,Success
MSN00161,SpaceX,SpaceX,Vandenberg,2003-09-17,5528.04,GTO,Success
MSN00162,Gemini,ISRO,Baikonur,2006-11-10,5080.64,LEO,Success
MSN00163,ISS Resupply,CNSA,Jiuquan,2016-10-30,7474.26,HEO,Success
MSN00164,ISS Resupply,Blue Origin,Jiuquan,2010-11-12,3349.81,ISS,Success
MSN00165,Blue Origin,SpaceX,Baikonur,2001-08-22,8452.67,MEO,Success
MSN00166,ISS Resupply,NASA,Jiuquan,2022-10-09,2425.55,ISS,Success
MSN00167,Soyuz,CNSA,Baikonur,2017-07-26,6563.02,HEO,Success
MSN00168,Apollo,CNSA,Cape Canaveral,2021-03-18,2189.67,LEO,Success
MSN00169,ISS Resupply,ISRO,Jiuquan,2011-06-17,4368.59,LEO,Success
MSN00170,ISS Resupply,CNSA,Baikonur,2008-12-07,5186.62,HEO,Success
MSN00171,Gemini,Roscosmos,Baikonur,2010-02-25,4026.61,Mars Transfer Orbit,Success
MSN00172,Gemini,CNSA,Jiuquan,2004-10-21,4636.66,MEO,Failure
MSN00173,Shenzhou,ISRO,Cape Canaveral,2006-03-22,2226.06,HEO,Success
MSN00174,SpaceX,SpaceX,Jiuquan,2000-06-15,3025.1,LEO,Success
MSN00175,Soyuz,ISRO,Baikonur,2023-06-25,5996.53,Mars Transfer Orbit,Success
MSN00176,ISS Resupply,Blue Origin,Cape Canaveral,2004-10-07,5059.34,LEO,Failure
MSN00177,ISS Resupply,ISRO,Satish Dhawan,2005-05-29,3618.94,Mars Transfer Orbit,Success
MSN00178,Apollo,NASA,Guiana Space Centre,2012-09-12,7648.56,ISS,Success
MSN00179,Shenzhou,Roscosmos,Jiuquan,2010-10-08,2560.14,MEO,Success
MSN00180,SpaceX,NASA,Vandenberg,2007-12-11,4276.82,MEO,Partial
MSN00181,Shenzhou,SpaceX,Baikonur,2019-10-05,3988.69,LEO,Success
MSN00182,Blue Origin,ESA,Cape Canaveral,2001-10-06,6230.08,HEO,Success
MSN00183,SpaceX,SpaceX,Cape Canaveral,2014-07-25,5096.33,LEO,Success
MSN00184,ISS Resupply,Roscosmos,Satish Dhawan,2009-01-30,4783.67,ISS,Failure
MSN00185,ISS Resupply,CNSA,Jiuquan,2007-08-06,1311.57,HEO,Success
MSN00186,SpaceX,ISRO,Vandenberg,2001-08-19,6730.07,LEO,Failure
MSN00187,ISS Resupply,ESA,Cape Canaveral,2020-12-24,4564.35,Mars Transfer Orbit,Success
MSN00188,Soyuz,Roscosmos,Satish Dhawan,2014-06-11,5231.32,Mars Transfer Orbit,Success
MSN00189,SpaceX,NASA,Baikonur,2005-08-05,3502.87,MEO,Success
MSN00190,Shenzhou,ISRO,Satish Dhawan,2004-08-15,3188.34,ISS,Success
MSN00191,SpaceX,SpaceX,Jiuquan,2021-11-29,7998.58,LEO,Success
MSN00192,ISS Resupply,NASA,Satish Dhawan,2021-08-09,1453.52,LEO,Success
MSN00193,Soyuz,Roscosmos,Cape Canaveral,2002-08-22,2891.6,Mars Transfer Orbit,Success
MSN00194,Soyuz,Roscosmos,Cape Canaveral,2010-03-14,7960.98,Mars Transfer Orbit,Success
MSN00195,Blue Origin,SpaceX,Guiana Space Centre,2010-04-05,6281.49,Mars Transfer Orbit,Success
MSN00196,Shenzhou,ESA,Satish Dhawan,2015-04-05,4349.07,Mars Transfer Orbit,Success
MSN00197,Gemini,SpaceX,Baikonur,2002-08-31,7493.19,GTO,Success
MSN00198,Gemini,CNSA,Vandenberg,2008-10-19,5893.72,HEO,Success
MSN00199,SpaceX,NASA,Vandenberg,2002-09-20,5465.32,GTO,Success
MSN00200,Blue Origin,ESA,Jiuquan,2018-05-04,5451.12,MEO,Success
MSN00201,Apollo,ISRO,Guiana Space Centre,2010-10-15,5930.48,HEO,Success
MSN00202,SpaceX,Blue Origin,Satish Dhawan,2013-09-24,6011.39,ISS,Partial
MSN00203,Blue Origin,CNSA,Baikonur,2001-04-19,9391.95,HEO,Success
MSN00204,Shenzhou,ESA,Guiana Space Centre,2006-12-14,4610.21,Mars Transfer Orbit,Success
MSN00205,Shenzhou,Blue Origin,Cape Canaveral,2009-02-17,4671.91,LEO,Success
MSN00206,Shenzhou,Blue Origin,Jiuquan,2009-10-28,2526.21,LEO,Failure
MSN00207,Shenzhou,NASA,Satish Dhawan,2019-04-05,4896.21,LEO,Success
MSN00208,Shenzhou,Roscosmos,Vandenberg,2000-02-02,8725.77,HEO,Failure
MSN00209,Blue Origin,ISRO,Baikonur,2005-04-28,6968.97,LEO,Success
MSN00210,Blue Origin,SpaceX,Cape Canaveral,2020-05-11,3912.66,LEO,Success
MSN00211,Soyuz,NASA,Guiana Space Centre,2013-09-08,5060.08,Mars Transfer Orbit,Failure
MSN00212,Gemini,CNSA,Jiuquan,2001-10-30,2407.12,GTO,Success
MSN00213,ISS Resupply,Blue Origin,Guiana Space Centre,2005-05-02,3061.76,LEO,Success
MSN00214,Shenzhou,CNSA,Vandenberg,2000-08-05,5298.88,GTO,Failure
MSN00215,Apollo,Blue Origin,Guiana Space Centre,2002-02-22,4011.09,MEO,Success
MSN00216,ISS Resupply,Roscosmos,Baikonur,2003-05-06,2910.8,HEO,Success
MSN00217,Blue Origin,Roscosmos,Cape Canaveral,2012-06-07,5979.68,GTO,Failure
MSN00218,Apollo,ISRO,Satish Dhawan,2002-06-08,4835.5,Mars Transfer Orbit,Success
MSN00219,Apollo,SpaceX,Baikonur,2014-10-10,1864.9,HEO,Success
MSN00220,Apollo,ISRO,Vandenberg,2012-03-29,849.71,HEO,Success
MSN00221,Soyuz,Roscosmos,Jiuquan,2021-06-25,3859.98,ISS,Success
MSN00222,Blue Origin,Roscosmos,Vandenberg,2010-10-19,1823.47,GTO,Success
MSN00223,Apollo,CNSA,Vandenberg,2003-06-08,1262.18,LEO,Success
MSN00224,Shenzhou,Roscosmos,Guiana Space Centre,2016-09-05,7257.94,Mars Transfer Orbit,Failure
MSN00225,SpaceX,ESA,Jiuquan,2004-12-22,4804.58,Mars Transfer Orbit,Failure
MSN00226,Apollo,Blue Origin,Baikonur,2020-05-01,4469.11,ISS,Success
MSN00227,Soyuz,NASA,Vandenberg,2023-08-25,4623.19,GTO,Success
MSN00228,ISS Resupply,Roscosmos,Baikonur,2007-05-05,2724.34,Mars Transfer Orbit,Success
MSN00229,Blue Origin,ISRO,Satish Dhawan,2020-11-10,5821.95,GTO,Success
MSN00230,Soyuz,SpaceX,Guiana Space Centre,2023-10-06,4738.6,MEO,Success
MSN00231,Apollo,Blue Origin,Baikonur,2009-12-21,3485.18,LEO,Success
MSN00232,Blue Origin,Blue Origin,Jiuquan,2006-11-20,3784.74,MEO,Failure
MSN00233,SpaceX,SpaceX,Vandenberg,2016-04-01,2545.08,HEO,Success
MSN00234,Apollo,SpaceX,Satish Dhawan,2006-04-15,4187.51,LEO,Success
MSN00235,Soyuz,Blue Origin,Jiuquan,2023-02-11,4520.74,MEO,Success
MSN00236,Gemini,ESA,Guiana Space Centre,2018-05-09,4135.43,MEO,Success
MSN00237,Shenzhou,ISRO,Satish Dhawan,2008-02-22,5110.31,LEO,Failure
MSN00238,ISS Resupply,ESA,Satish Dhawan,2023-06-17,4842.98,GTO,Failure
MSN00239,Soyuz,Roscosmos,Satish Dhawan,2001-03-31,5461.54,HEO,Success
MSN00240,Blue Origin,NASA,Vandenberg,2021-09-04,6886.19,ISS,Success
MSN00241,Apollo,SpaceX,Cape Canaveral,2019-06-23,6186.05,Mars Transfer Orbit,Success
MSN00242,Shenzhou,ISRO,Satish Dhawan,2018-03-28,6909.18,ISS,Success
MSN00243,Apollo,SpaceX,Jiuquan,2005-05-30,3304.53,ISS,Success
MSN00244,Blue Origin,ESA,Jiuquan,2009-09-06,3982.77,HEO,Failure
MSN00245,Apollo,CNSA,Guiana Space Centre,2012-04-24,6307.19,LEO,Success
MSN00246,Gemini,Roscosmos,Baikonur,2001-06-29,6342.96,LEO,Success
MSN00247,Shenzhou,NASA,Baikonur,2009-04-30,3642.76,LEO,Failure
MSN00248,Shenzhou,Roscosmos,Cape Canaveral,2009-01-28,6223.17,ISS,Failure
MSN00249,Blue Origin,CNSA,Vandenberg,2004-11-04,3112.94,GTO,Failure
MSN00250,ISS Resupply,NASA,Vandenberg,2021-04-27,5962.11,MEO,Success
MSN00251,Gemini,CNSA,Satish Dhawan,2003-07-10,4947.41,ISS,Success
MSN00252,Soyuz,Roscosmos,Cape Canaveral,2022-05-25,2231.13,HEO,Success
MSN00253,Apollo,ESA,Guiana Space Centre,2001-11-16,4131.85,LEO,Success
MSN00254,SpaceX,Blue Origin,Guiana Space Centre,2006-09-19,9364.54,MEO,Success
MSN00255,Apollo,Roscosmos,Baikonur,2017-05-22,5405.56,LEO,Success
MSN00256,Apollo,Roscosmos,Guiana Space Centre,2016-04-23,9600.9,LEO,Failure
MSN00257,Soyuz,Roscosmos,Satish Dhawan,2010-09-30,2112.15,LEO,Failure
MSN00258,Apollo,ISRO,Jiuquan,2020-02-07,6501.48,Mars Transfer Orbit,Success
MSN00259,Gemini,CNSA,Guiana Space Centre,2017-07-16,-68.67,GTO,Success
MSN00260,Gemini,CNSA,Cape Canaveral,2007-01-13,4999.53,MEO,Failure
MSN00261,Shenzhou,SpaceX,Satish Dhawan,2011-04-22,6262.43,ISS,Success
MSN00262,Blue Origin,CNSA,Guiana Space Centre,2023-05-17,6675.78,GTO,Success
MSN00263,ISS Resupply,SpaceX,Vandenberg,2000-06-20,3401.46,Mars Transfer Orbit,Success
MSN00264,SpaceX,ISRO,Guiana Space Centre,2019-05-07,7078.18,HEO,Partial
MSN00265,Apollo,ESA,Vandenberg,2020-12-27,3932.57,Mars Transfer Orbit,Failure
MSN00266,Apollo,SpaceX,Satish Dhawan,2011-11-29,4671.81,HEO,Success
MSN00267,Soyuz,Roscosmos,Guiana Space Centre,2005-01-19,4133.36,Mars Transfer Orbit,Success
MSN00268,Blue Origin,ESA,Vandenberg,2002-07-27,2727.22,ISS,Success
MSN00269,Gemini,Blue Origin,Jiuquan,2004-06-06,8139.44,MEO,Success
MSN00270,SpaceX,ISRO,Baikonur,2013-06-09,5096.04,ISS,Success
MSN00271,Shenzhou,CNSA,Satish Dhawan,2011-11-30,7174.64,GTO,Success
MSN00272,Gemini,SpaceX,Vandenberg,2012-08-27,7089.42,MEO,Success
MSN00273,Blue Origin,Roscosmos,Cape Canaveral,2012-03-19,3064.12,HEO,Success
MSN00274,ISS Resupply,NASA,Guiana Space Centre,2016-11-27,7432.25,MEO,Success
MSN00275,Shenzhou,Blue Origin,Vandenberg,2023-12-23,6006.83,MEO,Success
MSN00276,ISS Resupply,NASA,Vandenberg,2014-11-27,2918.2,MEO,Success
MSN00277,Soyuz,ESA,Vandenberg,2005-07-16,5897.7,ISS,Success
MSN00278,Soyuz,CNSA,Baikonur,2011-04-30,2954.06,LEO,Success
MSN00279,Apollo,NASA,Cape Canaveral,2001-09-05,8212.92,GTO,Failure
MSN00280,ISS Resupply,ESA,Cape Canaveral,2003-05-19,6627.57,MEO,Success
MSN00281,Blue Origin,ISRO,Jiuquan,2019-08-14,4857.7,MEO,Success
MSN00282,SpaceX,ESA,Baikonur,2020-03-23,7529.61,ISS,Success
MSN00283,Shenzhou,Blue Origin,Vandenberg,2011-01-26,1836.02,GTO,Success
MSN00284,Gemini,ESA,Satish Dhawan,2002-05-08,3501.32,GTO,Success
MSN00285,Blue Origin,Blue Origin,Baikonur,2016-08-10,4495.16,HEO,Failure
MSN00286,Blue Origin,ESA,Baikonur,2005-12-05,9471.37,GTO,Success
MSN00287,Soyuz,Roscosmos,Cape Canaveral,2023-02-13,2859.03,GTO,Success
MSN00288,ISS Resupply,ESA,Jiuquan,2016-03-24,1585.39,MEO,Success
MSN00289,Apollo,SpaceX,Jiuquan,2016-01-25,2111.23,LEO,Failure
MSN00290,Apollo,ESA,Baikonur,2010-08-08,6812.43,MEO,Success
MSN00291,Shenzhou,Roscosmos,Baikonur,2022-10-20,3811.62,Mars Transfer Orbit,Success
MSN00292,Soyuz,Roscosmos,Guiana Space Centre,2006-07-23,4681.83,ISS,Success
MSN00293,Blue Origin,ISRO,Vandenberg,2001-07-12,6525.67,GTO,Success
MSN00294,SpaceX,Blue Origin,Cape Canaveral,2018-01-02,4683.83,LEO,Success
MSN00295,Soyuz,CNSA,Vandenberg,2001-07-21,5408.29,MEO,Failure
MSN00296,Shenzhou,NASA,Satish Dhawan,2021-12-20,6070.43,Mars Transfer Orbit,Success
MSN00297,Shenzhou,NASA,Satish Dhawan,2012-02-01,4138.65,HEO,Failure
MSN00298,Soyuz,ESA,Jiuquan,2023-03-30,4667.37,ISS,Partial
MSN00299,Shenzhou,ISRO,Cape Canaveral,2023-07-21,5483.91,Mars Transfer Orbit,Success
